,index,policy,item_util,max_envy,imp_in_item_util
592,4,NSW (1.0),0.07538548622160268,0.075641884392985,5.427755007955393
593,5,NSW (1.0),5.86158917480629e-06,0.2536295413887082,0.00042203442058605286
594,6,NSW (1.0),6.704332498858323e-06,0.2536286986453841,0.0004827119399177993
595,7,NSW (1.0),5.6024100542851225e-06,0.1510217682045334,0.00040337352390852887
596,8,NSW (1.0),0.00794729507338598,0.1430800755412017,0.5722052452837906
597,9,NSW (1.0),9.244365534610608e-06,0.2536261586123484,0.0006655943184919639
598,10,NSW (1.0),5.639836595394222e-06,0.2536297631412876,0.000406068234868384
599,11,NSW (1.0),7.797177436387452e-06,0.1510195734371513,0.0005613967754198966
600,12,NSW (1.0),0.00794729507338598,0.1430800755412017,0.5722052452837906
601,13,NSW (1.0),0.0417452799445778,0.2118901230333052,3.005660156009602
602,14,NSW (1.0),5.351258591703825e-06,0.2536300517192913,0.0003852906186026754
603,15,NSW (1.0),5.86158917480629e-06,0.2536295413887082,0.00042203442058605286
604,16,NSW (1.0),0.04211953900657506,0.10890783160801262,3.032606808473404
605,17,NSW (1.0),0.00794729507338598,0.1430800755412017,0.5722052452837906
606,18,NSW (1.0),9.543091375858992e-06,0.15101782752321183,0.0006871025790618475
607,19,NSW (1.0),1.0890764914474289e-05,0.25362451221296856,0.0007841350738421488
608,20,NSW (1.0),0.00794729507338598,0.1430800755412017,0.5722052452837906
609,21,NSW (1.0),7.778042802453528e-06,0.15101959257178524,0.0005600190817766541
610,22,NSW (1.0),0.018885025287042473,0.23475037769084053,1.359721820667058
611,23,NSW (1.0),4.9529481188428316e-06,0.25363045002976414,0.00035661226455668387
612,24,NSW (1.0),0.00794729507338598,0.1430800755412017,0.5722052452837906
613,25,NSW (1.0),0.00794729507338598,0.1430800755412017,0.5722052452837906
614,26,NSW (1.0),0.018919823262400097,0.2347155797154829,1.362227274892807
615,27,NSW (1.0),7.793259149452145e-06,0.15101957735543822,0.0005611146587605545
